state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       1.960  0.571  0.961  1.436  2.137  2.362  0.686  0.173  0.142  0.537  0.069  0.079  1.024  1.105  5.215
2(1)a       2.413  0.000  0.953  1.625  2.368  2.350  0.720  0.049  0.230  0.534  0.039  0.147  1.048  1.164  5.946
3(1)a       2.991  0.148  0.952  1.527  2.041  2.531  0.603  0.207  0.191  0.442  0.099  0.062  1.100  1.279  5.181
4(1)a       3.090  0.000  0.955  1.070  1.727  1.854  0.491  0.495  0.013  0.458  0.020  0.013  1.010  1.078  4.502
5(1)a       3.354  0.000  0.953  1.042  1.880  1.987  0.579  0.409  0.012  0.563  0.004  0.012  1.025  1.117  4.321
6(1)a       3.410  0.000  0.955  2.329  2.349  2.440  0.151  0.041  0.808  0.073  0.060  0.018  2.029  2.255  3.429
7(1)a       3.440  0.004  0.953  2.429  2.385  2.253  0.109  0.012  0.880  0.035  0.065  0.008  2.023  2.144  3.179
8(1)a       3.547  0.000  0.957  1.329  1.851  2.226  0.432  0.397  0.171  0.383  0.035  0.013  1.594  2.032  4.221
9(1)a       3.599  0.389  0.959  1.936  2.120  2.946  0.550  0.066  0.384  0.310  0.187  0.053  1.432  1.771  4.606
10(1)a      3.628  0.000  0.954  2.054  2.183  2.897  0.472  0.070  0.457  0.227  0.141  0.104  1.742  2.124  4.781
