state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1(1)a       2.312  0.644  0.956  1.634  2.353  0.577  2.307  0.276  1.024  1.115  4.606
2(1)a       3.271  0.000  0.951  1.760  2.690  0.446  2.309 -0.027  1.284  1.585  4.395
3(1)a       3.319  0.000  0.951  1.758  2.513  0.514  2.251  0.497  2.050  2.224  4.600
4(1)a       3.361  0.000  0.955  1.772  2.669  0.707  2.637  0.254  1.912  2.081  5.693
5(1)a       3.390  0.198  0.952  1.950  2.904  0.518  2.507 -0.239  1.207  1.431  4.786
6(1)a       3.634  0.000  0.955  1.360  1.720  0.393  1.510  0.465  1.046  1.178  3.713
7(1)a       3.773  0.015  0.950  1.359  1.710  0.368  1.493  0.429  1.210  1.520  3.883
8(1)a       3.898  0.045  0.951  1.911  2.681  0.605  2.438  0.468  1.250  1.538  5.008
9(1)a       4.187  0.029  0.951  2.271  2.549  0.357  1.615 -0.355  2.090  2.670  4.440
10(1)a      4.195  0.123  0.951  2.283  2.538  0.325  1.563 -0.293  2.092  2.678  4.333
