state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.269  0.764  0.955  1.554  1.800  2.462  0.613  0.290  0.096  0.340  0.176  0.096  1.002  1.053  4.932
2(1)a       3.179  0.000  0.952  1.137  1.613  1.756  0.428  0.549  0.023  0.359  0.042  0.026  1.055  1.200  4.238
3(1)a       3.312  0.000  0.956  1.516  2.166  2.444  0.731  0.139  0.130  0.516  0.084  0.131  1.101  1.285  5.618
4(1)a       3.461  0.000  0.954  2.234  1.830  2.770  0.560  0.083  0.356  0.094  0.363  0.103  1.183  1.394  5.194
5(1)a       3.490  0.192  0.952  1.893  1.796  2.851  0.618  0.167  0.215  0.238  0.302  0.078  1.152  1.394  5.199
6(1)a       3.612  0.082  0.953  1.343  1.653  2.014  0.440  0.465  0.095  0.306  0.099  0.035  1.155  1.418  4.333
7(1)a       3.623  0.001  0.957  1.202  1.717  1.953  0.487  0.466  0.046  0.399  0.056  0.033  1.063  1.209  4.091
8(1)a       3.867  0.100  0.953  2.074  2.086  2.962  0.494  0.074  0.432  0.210  0.202  0.081  2.429  2.732  4.920
9(1)a       3.922  0.018  0.950  2.357  1.964  2.690  0.453  0.046  0.501  0.049  0.311  0.093  1.524  2.045  4.744
10(1)a      4.061  0.238  0.952  1.953  2.022  2.992  0.532  0.116  0.352  0.248  0.202  0.082  2.279  2.568  4.966
